Algorithm,Workload,Dim Percentage,Sum Time(us)
G1,CoverType,25.5,3270520
G2,CoverType,23.4,3329088
G3,CoverType,25.1,3271321
G4,CoverType,20,1242487
G5,CoverType,25.3,537840
G6,CoverType,27.5,9157806
G7,CoverType,27.7,1110321
G8,CoverType,25.8,41790629
G9,CoverType,1.2,183783
G10,CoverType,11,110101746
G1,INSECTS,22.9,490206
G2,INSECTS,21.2,488218
G3,INSECTS,21,481316
G4,INSECTS,14.1,3071597
G5,INSECTS,18.9,671692
G6,INSECTS,22.8,11455238
G7,INSECTS,25.1,1200398
G8,INSECTS,21.3,523955363
G9,INSECTS,1.7,209228
G10,INSECTS,0.7,157680591